brand,sku,product_url,image_url,local_path,contains_person,person_score,kept,status
Golden Man House,,https://goldenmanhouse.com/ar/products/vero-pants,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_06_01_02_PM.png?v=1788641132,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_vero-pants\img_006.png,True,0.8987,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/vardo,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_03_53_PM_grande.png?v=1788394012,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_vardo\img_000.png,True,0.9228,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/tie-man,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_04_51_04_PM_80x80.png?v=1788393097,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_tie-man\img_004.png,True,0.8063,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/vardo,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_04_10_PM.png?v=1788394014,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_vardo\img_006.png,True,0.9108,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/vardo,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_2_2026_05_04_06_PM.png?v=1788394017,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_vardo\img_007.png,True,0.9122,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/linen-shirt,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_31_51_PM_grande.png?v=1788723255,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_linen-shirt\img_000.png,True,0.9194,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/tie-man,http://goldenmanhouse.com/cdn/shop/files/IMG_9356_JPG_grande.jpg?v=1788387847,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_tie-man\img_000.jpg,True,0.8795,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/tie-man,https://goldenmanhouse.com/cdn/shop/files/IMG_9396_JPG.jpg?v=1788387849,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_tie-man\img_006.jpg,True,0.9113,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/tie-man,https://goldenmanhouse.com/cdn/shop/files/IMG_9398_JPG.jpg?v=1788387852,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_tie-man\img_007.jpg,True,0.8973,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/axis-jeans-shirt,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_01_08_51_PM_grande.png?v=1788726278,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_axis-jeans-shirt\img_000.png,True,0.9015,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija-t-shirt-1,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_01_03_43_PM_80x80.png?v=1788725112,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija-t-shirt-1\img_004.png,True,0.8193,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/axis-jeans-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_01_08_51_PM.png?v=1788726278,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_axis-jeans-shirt\img_005.png,True,0.9089,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/angora-t-shirt,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_01_03_43_PM_grande.png?v=1788725112,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_angora-t-shirt\img_000.png,True,0.9106,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/angora-t-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_01_03_43_PM.png?v=1788725112,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_angora-t-shirt\img_005.png,True,0.9117,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/angora-t-shirt,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_01_03_22_PM.png?v=1788725115,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_angora-t-shirt\img_006.png,True,0.9324,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija-t-shirt-1,http://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_56_17_PM_grande.png?v=1788724689,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija-t-shirt-1\img_000.png,True,0.8902,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija-t-shirt-1,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_56_17_PM.png?v=1788724689,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija-t-shirt-1\img_005.png,True,0.8934,False,person_detected
Golden Man House,,https://goldenmanhouse.com/ar/products/kija-t-shirt-1,https://goldenmanhouse.com/cdn/shop/files/ChatGPT_Image_Sep_6_2026_12_56_13_PM.png?v=1788724691,data_v2\images\golden_man_house\https_goldenmanhouse_com_ar_products_kija-t-shirt-1\img_006.png,True,0.8956,False,person_detected
